ID,Người,Mảng,Việc,Mô tả và lý do,Phụ thuộc,Ưu tiên,Ước lượng (ngày),Dự kiến (ngày thứ),Định nghĩa Xong,Chi tiết đầy đủ
ONB-01,Nghĩa,Onboarding,Dựng môi trường + đọc tài liệu bàn giao,"Clone, tạo venv, xin file .env từ anh Sơn, chạy backend cổng 9000 với --noreload (thiếu cờ này thì autoreload đẻ 2 luồng keep-warm) và frontend cổng 3100. Đọc BAN_GIAO_2026-08-24.md rồi KIEN_TRUC_HOC_TAP. Chạy 87 test backend.",,P0,1,1,"Đăng nhập được ở máy mình, pytest xanh, nêu được learning_events dùng để làm gì.",CHI_TIET_CONG_VIEC_SPRINT1.md → Trước tất cả
ONB-02,Nhân,Onboarding,Dựng môi trường + đọc tài liệu bàn giao,"Như trên, đọc thêm phần schema 30 bảng: mọi bảng nghiệp vụ là managed=False, DDL viết tay vào backend/sql/legacy_schema.sql và chạy qua bootstrap_schema, KHÔNG dùng makemigrations.",,P0,1,1,"Đăng nhập được, pytest xanh, nêu được vì sao không dùng makemigrations.",CHI_TIET_CONG_VIEC_SPRINT1.md → Trước tất cả
ONB-03,Phương Nam,Onboarding,Dựng môi trường + đọc tài liệu bàn giao,"Như trên, đọc thêm LegacyScripts.tsx / PageStyles.tsx / pe-bridge.js để hiểu vỏ Next.js bọc JS thuần thế nào — mọi việc frontend sprint này đều xoay quanh cơ chế đó.",,P0,1,1,"Sửa thử một chuỗi trong dashboard.js và thấy đổi trên trình duyệt.",CHI_TIET_CONG_VIEC_SPRINT1.md → Trước tất cả
ONB-04,Thái,Onboarding,Dựng môi trường + đọc tài liệu bàn giao,"Như trên, đọc kỹ theme.css (kể cả phần bình luận — nó kể lại các lần đã sai) và a11y.css. Đây là nền của mọi việc thiết kế sau này.",,P0,1,1,"Chuyển sáng/tối và chỉ ra token nào điều khiển màu nền thẻ.",CHI_TIET_CONG_VIEC_SPRINT1.md → Trước tất cả
ONB-05,Trí Thành,Onboarding,Dựng môi trường + đọc tài liệu bàn giao,"Như trên, đọc thêm cách dashboard.js được nạp từ dashboard/page.tsx và các biến window.* nó phụ thuộc.",,P0,1,1,"Mở được cả 5 khối tính năng trên Trang của tôi.",CHI_TIET_CONG_VIEC_SPRINT1.md → Trước tất cả
DB-01,Nhân,Hạ tầng,Tách CSDL dev khỏi production,"DATABASE_URL ở máy lập trình và trên Render đang trỏ CÙNG một Neon: chạy manage.py ở máy là ghi vào dữ liệu thật, và bộ test cũng chạy trên đó. Một người còn kiểm soát được, năm người mới vào thì không. Tạo Neon branch dev + ci (copy-on-write, gần như miễn phí), đổi DATABASE_URL cục bộ và CI secret, cập nhật DEPLOY.md. Việc này chặn cả nhóm.",ONB-02,P0,1.5,2-3,"Chạy lệnh ghi ở máy không còn chạm dữ liệu thật; CI chạy trên nhánh riêng; tài liệu đã sửa; cả 5 người đã đổi .env.",CHI_TIET_CONG_VIEC_SPRINT1.md → DB-01
BE-01,Nghĩa,Backend,Buổi học và điểm danh,"Đã có lớp học nhưng chưa có buổi học, nên không ai biết buổi nào đã dạy, ai đi ai vắng. Thêm class_sessions + attendance theo đặc tả ERP §4, điểm danh TAY. Chưa nối API nền tảng họp vì TopHSA chưa trả lời họ dạy trên Zoom hay Meet hay Zalo — làm phần không phụ thuộc câu trả lời đó trước để khỏi viết lại. Quyền dùng can_see_class() sẵn có, đừng viết lại kiểm quyền.",ONB-01;DB-01,P0,3,2-4,"Giảng viên tạo buổi, điểm danh cả lớp, số buổi đi học hiện trong báo cáo lớp. Có test: giảng viên lớp khác 404, học viên 403.",CHI_TIET_CONG_VIEC_SPRINT1.md → BE-01
BE-02,Nghĩa,Backend,Điểm danh chảy vào dòng sự kiện,"Ghi mỗi lần điểm danh thành một learning_events kind=attendance qua common/events.py, dedup_key='attend:{session}:{user}', event_date = ngày BUỔI HỌC (không phải ngày bấm nút). Đây là chỗ thấy rõ nhất giá trị kiến trúc: số buổi vắng tự chảy vào cảnh báo sớm và đường cong tiến bộ mà KHÔNG phải sửa dòng hiển thị nào.",BE-01,P1,1,5,"Vắng 2 buổi liên tiếp thì học viên tự xuất hiện trong danh sách cần chú ý, mà không sửa file hiển thị nào.",CHI_TIET_CONG_VIEC_SPRINT1.md → BE-02
BE-03,Nghĩa,Chất lượng,Bù test cho teaching và stats mới,"App teaching (633 dòng) không có file test nào, các endpoint stats mới cũng vậy — trong khi đây là phần quyết định giảng viên nào thấy dữ liệu học viên nào. Ưu tiên phân quyền: lớp của mình 200, lớp người khác 404 (KHÔNG phải 403 — không để lộ lớp đó tồn tại), học viên 403, admin không tự hạ vai trò mình. Thêm 2 test quy tắc số liệu: dưới 2 hoạt động thì không trả điểm năng lực; số tự khai không vào đường đo được.",ONB-01,P1,1.5,6-7,"8 endpoint teaching + 6 endpoint stats mới có test, CI xanh.",CHI_TIET_CONG_VIEC_SPRINT1.md → BE-03
ML-01,Nghĩa,ML,Đặc tả và baseline dự đoán điểm HSA,"NGHIÊN CỨU, chưa đưa lên sản phẩm. Câu hỏi: với dữ liệu đang có, dự đoán nổi điểm HSA thật không và còn thiếu gì? Trả lời 'chưa đủ dữ liệu, cần thêm X' là kết quả HỢP LỆ. Đặc trưng gợi ý: năng lực từng chủ đề, số bài, số đề, độ đều đặn, tốc độ. Đọc stats/competency.py trước để biết sản phẩm ĐANG ước lượng năng lực thế nào. Lưu ý dữ liệu hiện rất nhỏ (5 tài khoản, phần lớn là thử).",ONB-01,P2,3,8-10,"Notebook chạy trên dữ liệu đã ẩn danh + tài liệu 1-2 trang nêu rõ dùng được đặc trưng nào, sai số baseline, và THIẾU dữ liệu gì.",CHI_TIET_CONG_VIEC_SPRINT1.md → ML-01
